ID Kelas,Kode MK,Mata Kuliah,SKS,Kelas,Dosen,Hari,Jam Mulai,Jam Selesai,Ruangan,Prioritas Dosen
167,COM60051,Metodologi Penelitian & Penulisan Ilmiah,3,G,Arief Andy Soebroto,senin,07:00:00,08:40:00,F2.2,1
66,COM60016,Pengenalan Keilmuan Komputer,2,C,Achmad Basuki,senin,07:00:00,09:30:00,F3.3,1
160,CIF63309,Metode Numerik,3,F,Agung Setia Budi,senin,07:00:00,08:40:00,F4.11,1
2,CIF65115,Pemrograman Aplikasi Perangkat Bergerak,3,A,Nur Hazbiy Shaffan,senin,07:00:00,08:40:00,F4.13,1
119,CIF63106,Analisis dan Perancangan Sistem (Sesi 1),3,C,Eko Sakti Pramukantoro,senin,07:00:00,09:30:00,F4.14,1
108,COM60014,Pemrograman Dasar (Sesi 2),2,E,Achmad Ridok,senin,07:00:00,09:30:00,F4.5,1
44,CIF61101,Rekayasa Perangkat Lunak (Sesi 1),2,F,Komang Candra Brata,senin,07:00:00,09:30:00,F4.6,1
155,COM60025,Kalkulus,2,D,Wijaya Kurniawan,senin,08:45:00,10:25:00,F2.2,1
123,COM60051,Metodologi Penelitian & Penulisan Ilmiah,3,C,Arief Andy Soebroto,senin,08:45:00,10:25:00,F2.9,1
103,CIF65319,Statistika inferensi,2,F,Marji,senin,08:45:00,11:15:00,F3.6,1
86,CIF65115,Pemrograman Aplikasi Perangkat Bergerak,3,D,Adam Hendra Brata,senin,08:45:00,10:25:00,F4.3,1
26,CIF65116,Komputer Grafis,2,E,Herman Tolle,senin,09:35:00,12:05:00,F2.8,1
90,COM60025,Kalkulus,2,E,Edy Santoso,senin,09:35:00,11:20:00,F3.1,1
27,CIF65115,Pemrograman Aplikasi Perangkat Bergerak,3,C,Nur Hazbiy Shaffan,senin,09:35:00,12:05:00,F3.14,1
94,CIF65115,Pemrograman Aplikasi Perangkat Bergerak,3,B,Nur Hazbiy Shaffan,senin,09:35:00,12:05:00,F3.9,1
147,CIF63106,Analisis dan Perancangan Sistem (Sesi 1),3,G,Komang Candra Brata,senin,09:35:00,12:05:00,F4.4,1
17,CIF65318,Jaringan Saraf Tiruan,3,C,Randy Cahya Wihandika,senin,09:35:00,11:20:00,F4.6,1
99,CIF63207,Jaringan Komputer (Sesi 1),3,D,Primantara Hari Trisnawan,senin,09:35:00,12:05:00,F4.8,1
131,COM60014,Pemrograman Dasar (Sesi 1),3,F,Bayu Priyambadha,senin,10:30:00,12:10:00,F2.2,2
14,CIF63207,Jaringan Komputer (Sesi 2),2,C,Achmad Basuki,senin,10:30:00,12:10:00,F3.13,1
18,COM60004,Algoritma dan Struktur Data,3,A,Agung Setia Budi,senin,12:30:00,15:00:00,F2.1,1
121,CIF65318,Jaringan Saraf Tiruan,3,B,Wayan Firdaus Mahmudy,senin,12:30:00,14:10:00,F2.2,1
77,CIF61302,Statistika dan Teori Peluang,2,C,Wijaya Kurniawan,senin,12:30:00,14:10:00,F3.1,1
33,CIF63207,Jaringan Komputer (Sesi 1),3,A,Reza Andria Siregar,senin,14:15:00,15:55:00,F3.4,1
22,CIF61346,Deep Learning,3,A,Eko Sakti Pramukantoro,senin,14:30:00,16:10:00,F2.2,1
139,CIF61101,Rekayasa Perangkat Lunak (Sesi 2),2,C,Bayu Priyambadha,senin,15:20:00,17:00:00,F2.4,1
60,CIF63207,Jaringan Komputer (Sesi 1),3,G,Sabriansyah Rizqika Akbar,senin,15:20:00,17:00:00,F2.6,1
153,CIF63106,Analisis dan Perancangan Sistem (Sesi 1),3,A,Denny Sagita Rusdianto,senin,15:20:00,17:50:00,F3.11,1
52,CIF63108,Interaksi Manusia dan Komputer,2,E,Lutfi Fanani,senin,15:20:00,17:00:00,F3.5,1
69,CIF63110,Kecerdasan Artifisial,2,A,Rizal Setya Perdana,senin,15:20:00,17:50:00,F4.1,1
112,CIF63110,Kecerdasan Artifisial,2,F,Wayan Firdaus Mahmudy,senin,15:20:00,17:50:00,F4.5,1
97,CIF63108,Interaksi Manusia dan Komputer,2,G,Ratih Kartika Dewi,senin,16:00:00,17:40:00,F3.10,1
19,COM60014,Pemrograman Dasar (Sesi 1),3,D,Randy Cahya Wihandika,senin,16:00:00,17:40:00,F4.8,1
109,CIF61302,Statistika dan Teori Peluang,2,D,Wijaya Kurniawan,selasa,07:00:00,09:30:00,F2.6,1
36,COM60014,Pemrograman Dasar (Sesi 2),2,G,Nur Hazbiy Shaffan,selasa,07:00:00,08:40:00,F2.8,1
133,CIF63207,Jaringan Komputer (Sesi 1),3,F,Sabriansyah Rizqika Akbar,selasa,07:00:00,09:30:00,F3.2,1
107,COM60014,Pemrograman Dasar (Sesi 1),3,E,Achmad Ridok,selasa,07:00:00,08:40:00,F3.3,1
49,CIF63309,Metode Numerik,3,B,Agung Setia Budi,selasa,07:00:00,09:30:00,F4.1,1
5,CIF63108,Interaksi Manusia dan Komputer,2,A,Ratih Kartika Dewi,selasa,07:00:00,09:30:00,F4.3,1
88,CIF61101,Rekayasa Perangkat Lunak (Sesi 2),2,E,Bayu Priyambadha,selasa,07:00:00,09:30:00,F4.5,1
13,CIF63207,Jaringan Komputer (Sesi 1),3,C,Achmad Basuki,selasa,07:00:00,09:30:00,F4.6,1
4,CIF61101,Rekayasa Perangkat Lunak (Sesi 2),2,A,Nurudin Santoso,selasa,07:00:00,08:40:00,F4.7,1
101,COM60051,Metodologi Penelitian & Penulisan Ilmiah,3,E,Fitra Abdurrachman Bachtiar,selasa,07:00:00,08:40:00,F4.9,1
141,CIF60038,DevSecOps (Sesi 1),2,A,Widhi Yahya,selasa,08:45:00,10:25:00,F3.11,1
124,CIF63110,Kecerdasan Artifisial,2,E,Arief Andy Soebroto,selasa,08:45:00,10:25:00,F3.9,1
51,CIF61347,Penerapan Kecerdasan Artifisial,3,A,Fitra Abdurrachman Bachtiar,selasa,08:45:00,10:25:00,F4.10,1
102,COM60025,Kalkulus,2,G,Edy Santoso,selasa,08:45:00,10:25:00,F4.12,1
35,COM60014,Pemrograman Dasar (Sesi 1),3,G,Muh. Arif Rahman,selasa,09:35:00,11:20:00,F3.6,2
61,CIF63207,Jaringan Komputer (Sesi 2),2,G,Sabriansyah Rizqika Akbar,selasa,09:35:00,11:20:00,F4.11,1
10,CIF65318,Jaringan Saraf Tiruan,3,F,Budi Darma Setiawan,selasa,09:35:00,11:20:00,F4.5,1
43,COM60014,Pemrograman Dasar (Sesi 2),2,A,Adam Hendra Brata,selasa,09:35:00,11:20:00,F4.6,1
93,CIF63106,Analisis dan Perancangan Sistem (Sesi 2),2,E,Denny Sagita Rusdianto,selasa,10:30:00,12:10:00,F3.1,1
79,COM60025,Kalkulus,2,A,Edy Santoso,selasa,10:30:00,12:10:00,F3.11,1
144,CIF61101,Rekayasa Perangkat Lunak (Sesi 1),2,G,Nurudin Santoso,selasa,10:30:00,12:10:00,F4.1,1
9,CIF63108,Interaksi Manusia dan Komputer,2,D,Lutfi Fanani,selasa,10:30:00,12:10:00,F4.8,1
142,CIF60038,DevSecOps (Sesi 2),2,A,Widhi Yahya,selasa,12:30:00,14:10:00,F2.6,1
70,COM60051,Metodologi Penelitian & Penulisan Ilmiah,3,D,Arief Andy Soebroto,selasa,12:30:00,15:00:00,F3.1,1
72,CIF63106,Analisis dan Perancangan Sistem (Sesi 1),3,D,Lutfi Fanani,selasa,12:30:00,15:00:00,F3.16,1
76,CIF60048,Machine Learning Operations (MLOps) (Sesi 2),2,A,Sigit Adinugroho,selasa,12:30:00,15:00:00,F3.5,1
21,COM60051,Metodologi Penelitian & Penulisan Ilmiah,3,A,Achmad Basuki,selasa,12:30:00,14:10:00,F4.12,1
171,CIF63207,Jaringan Komputer (Sesi 1),3,E,Reza Andria Siregar,selasa,14:15:00,15:55:00,F4.10,1
15,COM60004,Algoritma dan Struktur Data,3,F,Achmad Ridok,selasa,15:20:00,17:00:00,F2.2,1
120,CIF63106,Analisis dan Perancangan Sistem (Sesi 2),2,C,Nurudin Santoso,selasa,15:20:00,17:50:00,F2.4,1
46,CIF65319,Statistika inferensi,2,A,Marji,selasa,15:20:00,17:00:00,F3.13,1
105,CIF65318,Jaringan Saraf Tiruan,3,E,Wayan Firdaus Mahmudy,selasa,15:20:00,17:00:00,F3.3,1
37,CIF63106,Analisis dan Perancangan Sistem (Sesi 1),3,B,Denny Sagita Rusdianto,selasa,15:20:00,17:00:00,F3.8,1
164,CIF61230,Jaringan komputer lanjut,3,A,Widhi Yahya,selasa,15:20:00,17:50:00,F4.4,1
98,COM60004,Algoritma dan Struktur Data,3,D,Fitra Abdurrachman Bachtiar,selasa,15:20:00,17:50:00,F4.5,1
140,COM60016,Pengenalan Keilmuan Komputer,2,D,Ratih Kartika Dewi,selasa,16:00:00,17:40:00,F3.11,1
87,CIF61101,Rekayasa Perangkat Lunak (Sesi 1),2,E,Bayu Priyambadha,selasa,16:00:00,17:40:00,F3.12,1
116,COM60011,Arsitektur dan Organisasi Komputer,2,E,Barlian Henryranu Prasetio,selasa,16:00:00,17:40:00,F4.10,1
92,CIF63106,Analisis dan Perancangan Sistem (Sesi 1),3,E,Lutfi Fanani,rabu,07:00:00,08:40:00,F2.8,1
91,COM60016,Pengenalan Keilmuan Komputer,2,B,Ratih Kartika Dewi,rabu,07:00:00,09:30:00,F3.10,1
8,CIF61302,Statistika dan Teori Peluang,2,F,Wijaya Kurniawan,rabu,07:00:00,08:40:00,F3.14,1
45,CIF61101,Rekayasa Perangkat Lunak (Sesi 2),2,F,Denny Sagita Rusdianto,rabu,07:00:00,09:30:00,F3.4,1
