Kode MK,Nama MK,sks,Wajib / Pilihan,Semester
CIF61233,Administrasi sistem server,3,Pilihan,Ganjil
CIF62342,Algoritma Evolusi dan Kecerdasan Berkoloni,3,Pilihan,Genap
CIF62344,Analitik Big Data,3,Pilihan,Genap
CIF61124,Arsitektur Berbasis Layanan,4,Pilihan,Ganjil
CIF62232,Arsitektur jaringan modern,3,Pilihan,Genap
CIF61346,Deep Learning,3,Pilihan,Ganjil
CIF60038,DevSecOps,4,Pilihan,Ganjil/Genap
CIF62122,Enterprise Application Integration,4,Pilihan,Genap
CIF61235,Forensik Digital,3,Pilihan,Ganjil
CIF61230,Jaringan komputer lanjut,3,Pilihan,Ganjil
CIF62234,Jaringan Sensor Nirkabel,3,Pilihan,Genap
CIF62237,Keamanan aplikasi berbasis web,4,Pilihan,Genap
CIF61236,Keamanan Jaringan,3,Pilihan,Ganjil
CIF60048,Machine Learning Operations (MLOps),4,Pilihan,Ganjil/Genap
CIF62340,Pemerolehan Informasi dan Penambangan Teks,4,Pilihan,Genap
CIF61125,Pemrograman Gim,4,Pilihan,Ganjil
CIF62127,Pemrograman Sistem Interaktif,4,Pilihan,Genap
CIF61341,Pemrosesan Bahasa Alami,3,Pilihan,Ganjil
CIF61347,Penerapan Kecerdasan Artifisial,3,Pilihan,Ganjil
CIF61339,Pengolahan Citra Digital dan Visi Komputer,4,Pilihan,Ganjil
CIF62128,Pengujian Perangkat Lunak,3,Pilihan,Genap
CIF62120,Penjaminan Kualitas Perangkat Lunak,3,Pilihan,Genap
CIF62231,Penyediaan dan Automasi Layanan,3,Pilihan,Genap
CIF62123,Perancangan Pengalaman Pengguna,3,Pilihan,Genap
CIF61121,Pola Perancangan,3,Pilihan,Ganjil
CIF61126,Realitas terkembang,3,Pilihan,Ganjil
CIF62345,Rekayasa Data dan Visualisasi,3,Pilihan,Genap
CIF62343,Sistem Berbasis Pengetahuan,4,Pilihan,Genap
CIF62229,Sistem Komputasi Terdistribusi,3,Pilihan,Genap
