Kode MK,Nama MK,SKS,Semester
COM60016,Pengenalan Keilmuan Komputer,2,1
COM60014,Pemrograman Dasar,5,1
COM60011,Arsitektur dan Organisasi Komputer,2,1
CIF61101,Rekayasa Perangkat Lunak,4,1
COM60025,Kalkulus,2,1
MPK60001-5,Agama,2,1
CIF61302,Statistika dan Teori Peluang,2,1
UBU60004,Bahasa Inggris,2,2
COM60015,Matematika Diskret,2,2
CIF62203,Sistem Operasi,5,2
CIF62104,Basis Data,3,2
CIF62305,Aljabar Linear,2,2
COM60024,Pemrograman Lanjut,5,2
COM60052,Etika Profesi,2,2
COM60004,Algoritma dan Struktur Data,3,3
CIF63106,Analisis dan Perancangan Sistem,5,3
CIF63207,Jaringan Komputer,5,3
CIF63108,Interaksi Manusia dan Komputer,2,3
CIF63309,Metode Numerik,3,3
CIF63110,Kecerdasan Artifisial,2,3
MPK60006,Kewarganegaraan,2,4
MPK60008,Pancasila,2,4
UBU60003,Kewirausahaan,2,4
CIF64311,Kecerdasan Artifisial Lanjut,5,4
CIF64112,Desain dan Analisis Algoritma,2,4
CIF64213,Keamanan Informasi,5,4
CIF64114,Pengembangan Aplikasi Web,3,4
COM60051,Metodologi Penelitian & Penulisan Ilmiah,3,5
MPK60007,Bahasa Indonesia,2,5
CIF65115,Pemrograman Aplikasi Perangkat Bergerak,3,5
CIF65116,Komputer Grafis,2,5
CIF65217,Jaringan Nirkabel,3,5
CIF65318,Jaringan Saraf Tiruan,3,5
CIF65319,Statistika inferensi,2,5
