class_id,kode_mk,nama_mk,sks,sks_asli,dosen,dosen_priority,jumlah_mhs,semester,parallel,is_split
16,COM60011,Arsitektur dan Organisasi Komputer,2,2,Rakhmadhany Primananda,1,40,1,C,False
42,COM60011,Arsitektur dan Organisasi Komputer,2,2,Rakhmadhany Primananda,1,40,1,A,False
45,COM60011,Arsitektur dan Organisasi Komputer,2,2,Barlian Henryranu Prasetio,1,40,1,F,False
56,COM60011,Arsitektur dan Organisasi Komputer,2,2,Wijaya Kurniawan,1,40,1,G,False
67,COM60011,Arsitektur dan Organisasi Komputer,2,2,Rakhmadhany Primananda,1,40,1,D,False
90,COM60011,Arsitektur dan Organisasi Komputer,2,2,Barlian Henryranu Prasetio,1,40,1,E,False
128,COM60011,Arsitektur dan Organisasi Komputer,2,2,Wijaya Kurniawan,1,40,1,B,False
20,COM60025,Kalkulus,2,2,Muh. Arif Rahman,1,40,1,D,False
24,COM60025,Kalkulus,2,2,Marji,1,40,1,C,False
30,COM60025,Kalkulus,2,2,Wijaya Kurniawan,1,40,1,B,False
76,COM60025,Kalkulus,2,2,Wijaya Kurniawan,1,40,1,F,False
146,COM60025,Kalkulus,2,2,Edy Santoso,1,40,1,A,False
151,COM60025,Kalkulus,2,2,Wijaya Kurniawan,1,40,1,E,False
162,COM60025,Kalkulus,2,2,Edy Santoso,1,40,1,G,False
1,COM60014,Pemrograman Dasar (Sesi 1),3,5,Achmad Ridok,1,40,1,A,True
49,COM60014,Pemrograman Dasar (Sesi 1),3,5,Nurudin Santoso,1,40,1,F,True
51,COM60014,Pemrograman Dasar (Sesi 1),3,5,Herman Tolle,1,40,1,G,True
54,COM60014,Pemrograman Dasar (Sesi 1),3,5,Randy Cahya Wihandika,1,40,1,D,True
100,COM60014,Pemrograman Dasar (Sesi 1),3,5,Nur Hazbiy Shaffan,1,40,1,B,True
119,COM60014,Pemrograman Dasar (Sesi 1),3,5,Bayu Priyambadha,2,40,1,E,True
156,COM60014,Pemrograman Dasar (Sesi 1),3,5,Randy Cahya Wihandika,1,40,1,C,True
2,COM60014,Pemrograman Dasar (Sesi 2),2,5,Achmad Ridok,1,40,1,A,True
50,COM60014,Pemrograman Dasar (Sesi 2),2,5,Nurudin Santoso,1,40,1,F,True
52,COM60014,Pemrograman Dasar (Sesi 2),2,5,Herman Tolle,1,40,1,G,True
55,COM60014,Pemrograman Dasar (Sesi 2),2,5,Randy Cahya Wihandika,1,40,1,D,True
101,COM60014,Pemrograman Dasar (Sesi 2),2,5,Nur Hazbiy Shaffan,1,40,1,B,True
120,COM60014,Pemrograman Dasar (Sesi 2),2,5,Bayu Priyambadha,2,40,1,E,True
157,COM60014,Pemrograman Dasar (Sesi 2),2,5,Randy Cahya Wihandika,1,40,1,C,True
33,COM60016,Pengenalan Keilmuan Komputer,2,2,Ratih Kartika Dewi,1,40,1,D,False
37,COM60016,Pengenalan Keilmuan Komputer,2,2,Ratih Kartika Dewi,1,40,1,C,False
71,COM60016,Pengenalan Keilmuan Komputer,2,2,Dany Primanita Kartikasari,1,40,1,F,False
80,COM60016,Pengenalan Keilmuan Komputer,2,2,Sabriansyah Rizqika Akbar,1,40,1,B,False
97,COM60016,Pengenalan Keilmuan Komputer,2,2,Edy Santoso,1,40,1,A,False
104,COM60016,Pengenalan Keilmuan Komputer,2,2,Arief Andy Soebroto,1,40,1,E,False
170,COM60016,Pengenalan Keilmuan Komputer,2,2,Rizal Maulana,2,40,1,G,False
35,CIF61101,Rekayasa Perangkat Lunak (Sesi 1),2,4,Denny Sagita Rusdianto,1,40,1,E,True
69,CIF61101,Rekayasa Perangkat Lunak (Sesi 1),2,4,Nurudin Santoso,1,40,1,D,True
95,CIF61101,Rekayasa Perangkat Lunak (Sesi 1),2,4,Bayu Priyambadha,1,40,1,F,True
112,CIF61101,Rekayasa Perangkat Lunak (Sesi 1),2,4,Bayu Priyambadha,1,40,1,B,True
136,CIF61101,Rekayasa Perangkat Lunak (Sesi 1),2,4,Eko Sakti Pramukantoro,1,40,1,A,True
168,CIF61101,Rekayasa Perangkat Lunak (Sesi 1),2,4,Bayu Priyambadha,1,40,1,G,True
171,CIF61101,Rekayasa Perangkat Lunak (Sesi 1),2,4,Adam Hendra Brata,1,40,1,C,True
36,CIF61101,Rekayasa Perangkat Lunak (Sesi 2),2,4,Denny Sagita Rusdianto,1,40,1,E,True
70,CIF61101,Rekayasa Perangkat Lunak (Sesi 2),2,4,Nurudin Santoso,1,40,1,D,True
96,CIF61101,Rekayasa Perangkat Lunak (Sesi 2),2,4,Bayu Priyambadha,1,40,1,F,True
113,CIF61101,Rekayasa Perangkat Lunak (Sesi 2),2,4,Bayu Priyambadha,1,40,1,B,True
137,CIF61101,Rekayasa Perangkat Lunak (Sesi 2),2,4,Eko Sakti Pramukantoro,1,40,1,A,True
169,CIF61101,Rekayasa Perangkat Lunak (Sesi 2),2,4,Bayu Priyambadha,1,40,1,G,True
172,CIF61101,Rekayasa Perangkat Lunak (Sesi 2),2,4,Adam Hendra Brata,1,40,1,C,True
8,CIF61302,Statistika dan Teori Peluang,2,2,Wijaya Kurniawan,1,40,1,C,False
9,CIF61302,Statistika dan Teori Peluang,2,2,Ratih Kartika Dewi,1,40,1,G,False
14,CIF61302,Statistika dan Teori Peluang,2,2,Ratih Kartika Dewi,1,40,1,A,False
34,CIF61302,Statistika dan Teori Peluang,2,2,Wijaya Kurniawan,1,40,1,B,False
38,CIF61302,Statistika dan Teori Peluang,2,2,Ratih Kartika Dewi,1,40,1,F,False
99,CIF61302,Statistika dan Teori Peluang,2,2,Marji,1,40,1,D,False
142,CIF61302,Statistika dan Teori Peluang,2,2,Achmad Basuki,2,40,1,E,False
3,COM60004,Algoritma dan Struktur Data,3,3,Budi Darma Setiawan,1,40,3,F,False
5,COM60004,Algoritma dan Struktur Data,3,3,Agung Setia Budi,1,40,3,B,False
27,COM60004,Algoritma dan Struktur Data,3,3,Agung Setia Budi,1,40,3,C,False
83,COM60004,Algoritma dan Struktur Data,3,3,Edy Santoso,1,40,3,A,False
85,COM60004,Algoritma dan Struktur Data,3,3,Edy Santoso,1,40,3,D,False
122,COM60004,Algoritma dan Struktur Data,3,3,Fitra Abdurrachman Bachtiar,1,40,3,G,False
134,COM60004,Algoritma dan Struktur Data,3,3,Fitra Abdurrachman Bachtiar,1,40,3,E,False
47,CIF63106,Analisis dan Perancangan Sistem (Sesi 1),3,5,Eko Sakti Pramukantoro,1,40,3,E,True
60,CIF63106,Analisis dan Perancangan Sistem (Sesi 1),3,5,Lutfi Fanani,1,40,3,A,True
102,CIF63106,Analisis dan Perancangan Sistem (Sesi 1),3,5,Denny Sagita Rusdianto,1,40,3,D,True
107,CIF63106,Analisis dan Perancangan Sistem (Sesi 1),3,5,Komang Candra Brata,1,40,3,G,True
126,CIF63106,Analisis dan Perancangan Sistem (Sesi 1),3,5,Lutfi Fanani,1,40,3,F,True
138,CIF63106,Analisis dan Perancangan Sistem (Sesi 1),3,5,Denny Sagita Rusdianto,1,40,3,C,True
148,CIF63106,Analisis dan Perancangan Sistem (Sesi 1),3,5,Nurudin Santoso,1,40,3,B,True
48,CIF63106,Analisis dan Perancangan Sistem (Sesi 2),2,5,Eko Sakti Pramukantoro,1,40,3,E,True
61,CIF63106,Analisis dan Perancangan Sistem (Sesi 2),2,5,Lutfi Fanani,1,40,3,A,True
