id,Hari,Mulai,Selesai,sks_val,slot_id
0,senin,07:00:00,08:40:00,2,0
1,senin,07:00:00,09:30:00,3,1
2,senin,08:45:00,10:25:00,2,2
3,senin,08:45:00,11:15:00,3,3
4,senin,09:35:00,11:20:00,2,4
5,senin,09:35:00,12:05:00,3,5
6,senin,10:30:00,12:10:00,2,6
7,senin,12:30:00,14:10:00,2,7
8,senin,12:30:00,15:00:00,3,8
9,senin,14:15:00,15:55:00,2,9
10,senin,14:30:00,16:10:00,2,10
11,senin,15:20:00,17:00:00,2,11
12,senin,15:20:00,17:50:00,3,12
13,senin,16:00:00,17:40:00,2,13
14,selasa,07:00:00,08:40:00,2,14
15,selasa,07:00:00,09:30:00,3,15
16,selasa,08:45:00,10:25:00,2,16
17,selasa,08:45:00,11:15:00,3,17
18,selasa,09:35:00,11:20:00,2,18
19,selasa,09:35:00,12:05:00,3,19
20,selasa,10:30:00,12:10:00,2,20
21,selasa,12:30:00,14:10:00,2,21
22,selasa,12:30:00,15:00:00,3,22
23,selasa,14:15:00,15:55:00,2,23
24,selasa,14:30:00,16:10:00,2,24
25,selasa,15:20:00,17:00:00,2,25
26,selasa,15:20:00,17:50:00,3,26
27,selasa,16:00:00,17:40:00,2,27
28,rabu,07:00:00,08:40:00,2,28
29,rabu,07:00:00,09:30:00,3,29
30,rabu,08:45:00,10:25:00,2,30
31,rabu,08:45:00,11:15:00,3,31
32,rabu,09:35:00,11:20:00,2,32
33,rabu,09:35:00,12:05:00,3,33
34,rabu,10:30:00,12:10:00,2,34
35,rabu,12:30:00,14:10:00,2,35
36,rabu,12:30:00,15:00:00,3,36
37,rabu,14:15:00,15:55:00,2,37
38,rabu,14:30:00,16:10:00,2,38
39,rabu,15:20:00,17:00:00,2,39
40,rabu,15:20:00,17:50:00,3,40
41,rabu,16:00:00,17:40:00,2,41
42,kamis,07:00:00,08:40:00,2,42
43,kamis,07:00:00,09:30:00,3,43
44,kamis,08:45:00,10:25:00,2,44
45,kamis,08:45:00,11:15:00,3,45
46,kamis,09:35:00,11:20:00,2,46
47,kamis,09:35:00,12:05:00,3,47
48,kamis,10:30:00,12:10:00,2,48
49,kamis,12:30:00,14:10:00,2,49
50,kamis,12:30:00,15:00:00,3,50
51,kamis,14:15:00,15:55:00,2,51
52,kamis,14:30:00,16:10:00,2,52
53,kamis,15:20:00,17:00:00,2,53
54,kamis,15:20:00,17:50:00,3,54
55,kamis,16:00:00,17:40:00,2,55
56,jumat,07:00:00,08:40:00,2,56
57,jumat,07:00:00,09:30:00,3,57
58,jumat,08:45:00,10:25:00,2,58
59,jumat,08:45:00,11:15:00,3,59
60,jumat,09:35:00,11:20:00,2,60
61,jumat,09:35:00,12:05:00,3,61
62,jumat,10:30:00,12:10:00,2,62
63,jumat,12:30:00,14:10:00,2,63
64,jumat,12:30:00,15:00:00,3,64
65,jumat,14:15:00,15:55:00,2,65
66,jumat,14:30:00,16:10:00,2,66
67,jumat,15:20:00,17:00:00,2,67
68,jumat,15:20:00,17:50:00,3,68
69,jumat,16:00:00,17:40:00,2,69
